,Life expectancy,1806,1816,1826,1836,1846,1856,1866,1876,1886,1896,1906,1916,1926,1936,1946,1956,1966,1976,1986,1996,2006
112,Jordan,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,32.57,41.48,49.95,58.13,65.28,70.15,72.6,75.5
113,Kazakhstan,26.2,26.2,26.2,26.2,26.2,26.2,24.63,24.4,26.4,28.4,29.6,31.0,36.87,41.38,49.15,57.05,61.69,64.88,68.34,63.5,65.3
114,Kenya,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,24.24,26.13,31.69,44.75,51.35,57.49,62.09,57.4,58.4
115,Kiribati,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,27.11,37.48,44.25,48.23,52.2,56.5,59.2,61.0
116,North Korea,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.5,26.48,31.98,40.5,44.88,48.18,54.84,63.49,67.36,58.7,70.4
117,South Korea,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,24.42,26.48,31.98,40.5,45.01,50.22,57.67,64.62,69.58,74.5,79.1
120,Kuwait,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,42.69,58.45,66.58,71.85,75.95,76.0,77.7
121,Kyrgyz Republic,23.94,23.94,23.94,23.94,23.94,23.94,22.37,22.14,24.14,26.14,27.34,28.74,34.61,39.12,46.7,54.31,58.76,61.83,65.23,65.2,66.7
122,Lao,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,33.68,41.11,43.64,46.05,49.02,54.0,60.8
123,Latvia,33.0,33.0,33.0,33.0,33.0,33.0,34.99,38.31,41.63,44.95,48.08,40.1,55.87,57.56,54.99,66.44,71.26,69.48,71.09,68.6,70.8
124,Lebanon,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,47.52,61.6,64.5,66.69,68.29,74.0,77.4
125,Lesotho,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,34.57,44.59,48.95,52.17,57.88,57.9,43.1
126,Liberia,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.59,34.28,37.77,44.45,48.62,50.4,58.8
127,Libya,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,34.59,39.18,54.15,64.95,71.56,74.6,75.5
129,Lithuania,28.9,28.9,28.9,28.9,28.9,28.9,28.9,31.46,35.73,39.99,43.81,39.4,51.02,56.25,52.52,66.99,71.92,71.38,72.45,70.2,71.5
130,Luxembourg,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,40.42,45.46,46.59,50.12,53.41,61.2,61.59,66.98,69.21,70.31,74.44,77.1,80.3
131,"Macao, China",34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,39.76,48.19,56.62,62.89,67.66,71.29,74.31,76.78,78.89
132,"Macedonia, FYR",36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,39.27,44.55,48.07,58.04,64.51,68.61,70.6,72.1,74.1
133,Madagascar,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,32.07,39.62,45.43,51.12,54.38,57.6,61.7
